,time_centered,nao_mode_num,per_var_nao,per_var_eap,subtrop_high_long,eap_long,max_corr_nao,max_lag_nao,max_corr_eap,max_lag_eap,cluster,total_per_var
120,2005-06-01,0,41.9872055148895,26.05767221642756,-32.75,-24.0,-0.4900132807944164,-18,0.6148456299780862,-18,3,68.04487773131706
121,2005-07-01,0,42.498739198233565,25.15118397441652,-32.75,-24.0,-0.4216302653009954,-10,0.6440921639383606,-18,3,67.64992317265009
122,2005-08-01,0,42.55831617101079,25.162845287939778,-32.75,-24.0,-0.4322836875572552,-10,0.673758592545099,-18,3,67.72116145895056
123,2005-09-01,0,42.466542323174345,25.347534236627254,-32.75,-24.0,-0.4696046712809726,-10,0.7018246431231729,-18,3,67.8140765598016
124,2005-10-01,0,42.287588380674734,24.966166987526258,-32.0,-24.25,-0.51907759611594,-10,0.7288466789938951,-18,3,67.25375536820098
125,2005-11-01,0,42.107840026324666,26.158749123139525,-32.0,-24.25,-0.5539979177267369,-10,0.7455145018663659,-18,3,68.2665891494642
126,2005-12-01,0,43.247472490380005,25.04081693492398,-32.0,-24.5,-0.5562734573746656,-10,0.7341165064674686,-18,0,68.28828942530399
127,2006-01-01,0,43.285076884552126,24.392130089986875,-33.0,-23.5,-0.5222596467841517,-10,0.6824660778811928,-18,0,67.677206974539
128,2006-02-01,0,42.90953675631489,24.46858516289116,-31.75,-22.5,-0.4623349163752772,-10,0.5908827643695478,-18,2,67.37812191920605
129,2006-03-01,0,42.5223254560486,23.924814734122197,-30.0,-23.0,-0.3985342061668361,-10,0.4636894992492233,-18,0,66.4471401901708
130,2006-04-01,0,42.90458071521934,23.743453780170583,-28.5,-23.0,-0.3493875335179262,-10,0.3243293001005132,-18,0,66.64803449538992
131,2006-05-01,0,43.48294132438784,23.450212162306904,-27.0,-23.75,-0.3117841858023138,-10,0.213237127706242,-10,0,66.93315348669475
132,2006-06-01,0,43.70917265547074,23.421080863293092,-27.5,-24.0,-0.2846212323910764,-10,0.2213822588003532,-10,0,67.13025351876382
133,2006-07-01,0,43.80235994868942,23.43645665955677,-27.0,-23.75,-0.2693465842844862,-10,0.2279448595403625,-10,3,67.2388166082462
134,2006-08-01,0,43.34500259636616,23.882323791782134,-26.75,-23.5,-0.2626835649830948,-10,0.2267862538536111,-10,3,67.2273263881483
135,2006-09-01,0,43.467771706654496,23.70378412416014,-28.0,-23.75,-0.2638069023987692,-10,0.2203774842211588,-10,3,67.17155583081464
136,2006-10-01,0,44.32137147702036,23.21777083908369,-28.0,-23.75,-0.2700737668126936,-10,0.2198201048656927,-10,3,67.53914231610405
137,2006-11-01,0,43.71164315749381,24.59097063640362,-28.0,-24.25,-0.2758772232759648,-10,0.2303840345188119,-10,3,68.30261379389742
138,2006-12-01,0,44.88502827557298,23.35736009265867,-27.0,-25.5,-0.2785007899226733,-10,0.2545654130642177,-10,3,68.24238836823164
139,2007-01-01,0,41.56021813054571,26.42297630922335,-27.0,-24.75,-0.2845167353596327,-10,0.2955158333788236,-10,3,67.98319443976905
140,2007-02-01,0,41.73388016003216,25.838598024544947,-29.5,-23.75,-0.3022598700977558,-10,0.3540334764076094,-10,3,67.57247818457711
141,2007-03-01,0,44.5907613419148,19.956598996712312,-27.0,-23.25,-0.3341479708641215,-10,0.4255862199858092,-10,3,64.54736033862712
142,2007-04-01,0,42.57918184755257,21.57472660848133,-22.75,-22.0,-0.3767593731848163,-10,0.5041736669876961,-10,3,64.1539084560339
